"X2" "X1"
"2" 195.03018 38.355144
"3" 194.77897 36.994841
"4" 194.42245 36.604288
"5" 194.2267 36.389851
"6" 193.91845 35.951027
"7" 193.73744 35.629126
"8" 193.55644 35.307225
"9" 193.06612 35.002648
"10" 192.64785 34.952292
"11" 192.05701 34.881162
"12" 191.70487 35.11456
"13" 191.06922 35.99862
"14" 190.61923 36.624456
"15" 189.39233 37.809144
"16" 188.34277 38.631258
"17" 186.51887 40.059908
"18" 186.29419 40.149079
"19" 183.26237 40.647612
"20" 180.09027 41.169213
"21" 174.07405 39.837623
"22" 170.76513 39.105248
"23" 165.5018 37.883678
"24" 162.37777 37.123028
"25" 156.6977 35.740025
"26" 150.71869 35.690885
"27" 145.28424 35.646225
"28" 144.50205 35.705925
"29" 142.13075 36.346278
"30" 139.80528 36.97426
"31" 139.31541 37.01486
"32" 137.622 36.719966
"33" 136.57709 36.538004
"34" 134.02676 36.389127
"35" 131.95458 36.389127
"36" 129.76406 36.389127
"37" 127.30087 36.202725
"38" 126.07005 35.943812
"39" 117.10847 34.058686
"40" 109.15998 33.604603
"41" 101.09286 34.516912
"42" 98.486477 34.811665
"43" 94.104767 35.035059
"44" 90.629587 35.050362
"45" 84.400337 35.077802
"46" 82.872537 35.300569
"47" 77.460057 36.970684
"48" 75.971567 37.429983
"49" 75.406577 37.473149
"50" 74.274427 37.214078
"51" 73.099067 36.945118
"52" 72.437297 37.014645
"53" 69.740227 37.690468
"54" 65.882507 38.657119
"55" 64.735857 38.668632
"56" 61.481887 37.773378
"57" 58.940807 37.074261
"58" 60.585037 36.251632
"59" 61.489357 35.799188
"60" 63.507277 34.646652
"61" 65.069297 33.690443
"62" 67.215947 32.376342
"63" 68.379147 31.867468
"64" 69.833677 31.606129
"65" 70.892067 31.415966
"66" 72.378357 30.946027
"67" 73.136547 30.561822
"68" 74.994037 29.62056
"69" 78.830127 26.754676
"70" 83.055377 23.151616
"71" 86.156077 20.507511
"72" 90.100407 17.484529
"73" 90.928537 17.117522
"74" 91.092957 17.044652
"75" 92.016417 16.762987
"76" 92.980657 16.491595
"77" 96.566467 15.482352
"78" 103.31266 9.9911817
"79" 103.97163 7.5453087
"80" 104.1481 6.8903317
"81" 104.68243 5.9103237
"82" 105.15902 5.3675137
"83" 105.85579 4.5739327
"84" 106.02555 4.1015037
"85" 106.02555 2.9560247
"86" 106.02555 1.3955907
"87" 105.65399 0.81398174
"88" 104.65709 0.81398174
"89" 104.29905 0.81398174
"90" 103.82901 0.60059374
"91" 103.61256 0.33978574
"92" 103.0523 -0.33527916
"93" 101.97386 -0.04113416
"94" 99.164377 1.5530197
"95" 96.536217 3.0442907
"96" 96.302997 3.1121227
"97" 96.052067 2.4582107
"98" 95.796887 1.7932267
"99" 95.552047 1.8707557
"100" 92.671077 3.5288067
"101" 89.825887 5.1662677
"102" 89.146177 5.8295487
"103" 87.947437 8.1382757
"104" 86.910377 10.135625
"105" 86.488817 10.604394
"106" 84.001407 12.526272
"107" 82.421887 13.746674
"108" 80.588817 14.716338
"109" 76.837227 16.316014
"110" 69.303767 19.528282
"111" 68.116727 20.176674
"112" 65.994367 22.238672
"113" 64.079397 24.099167
"114" 61.659577 24.285291
"115" 57.784797 24.583323
"116" 56.171187 24.983637
"117" 52.423777 26.576559
"118" 48.896257 28.076011
"119" 46.432667 27.70949
"120" 42.611147 27.140942
"121" 40.436007 27.392098
"122" 37.769917 28.709754
"123" 34.878157 30.138938
"124" 33.392444 31.785487
"125" 32.379974 34.683187
"126" 31.965964 35.868087
"127" 31.554814 37.173868
"128" 31.466304 37.584926
"129" 31.377804 37.995983
"130" 30.257564 40.215692
"131" 28.976904 42.517613
"132" 26.648424 46.702924
"133" 24.840714 46.790424
"134" 23.332024 46.863454
"135" 22.941594 46.776914
"136" 22.480364 46.26726
"137" 22.085404 45.830831
"138" 21.557104 45.656596
"139" 20.628774 45.656596
"140" 19.749364 45.656596
"141" 19.329834 45.528594
"142" 19.329834 45.26028
"143" 19.329834 45.042309
"144" 19.002124 44.556104
"145" 18.601594 44.179827
"146" 17.974294 43.590513
"147" 17.496814 43.481851
"148" 15.156524 43.395828
"149" 12.725994 43.306488
"150" 12.401354 43.357338
"151" 12.075964 43.878382
"152" 11.770006 44.368297
"153" 11.369338 44.460798
"154" 9.5532331 44.460798
"155" 7.0750981 44.460798
"156" 4.8404521 45.173138
"157" 2.8929511 46.583898
"158" 0.12217507 48.591039
"159" -0.86896793 53.581125
"160" 0.85044607 56.867254
"161" 1.8066471 58.694737
"162" 2.5788151 59.433259
"163" 4.5809351 60.435187
"164" 6.4765601 61.383823
"165" 8.8397491 61.859098
"166" 10.411384 61.607782
"167" 11.395872 61.450358
"168" 11.665397 61.522552
"169" 12.028504 62.040962
"170" 12.420304 62.600344
"171" 12.732504 62.657216
"172" 15.125584 62.605184
"173" 17.496044 62.553644
"174" 17.872234 62.467194
"175" 18.567194 61.814292
"176" 18.996334 61.411127
"177" 19.280444 60.906647
"178" 19.198544 60.693226
"179" 19.089244 60.408395
"180" 19.430854 60.305188
